skill,operational_category,capability_role,portfolio_class,program_family,research_area,research_area_title,secondary_area,github_area_label,github_area_topic,has_sanity,confidence,classification_basis,review_priority
create-status-surface,create,creator,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,medium,rule-derived,human-review
cursor-agents,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
goal-helper,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,False,high,curated-or-explicit,none
handoff,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
local-page-analysis-capture,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
loop,core,orchestrator,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,False,high,curated-or-explicit,none
monitor-codebase,monitor,monitor,support-enabler,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
monitor-herdr,monitor,monitor,support-enabler,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
monitor-pi,monitor,monitor,support-enabler,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
monitor-skills,monitor,monitor,support-enabler,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
oc-subagent,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
ops-pi-term,ops,operator,support-enabler,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
orchestrate,core,orchestrator,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
plan,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
plan-iterate,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
project-watchdog,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
remote-control,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
scheduler,core,orchestrator,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
skill-lab,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
skills-broadcast,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
subagent-runner,core,orchestrator,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,False,high,curated-or-explicit,none
surf,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
surf-qml,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
switchboard,core,orchestrator,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
task-monitor,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
tau,core,orchestrator,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
webgpt,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
best-practices-arangodb,best-practices,standards,support-enabler,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
best-practices-project-state,best-practices,standards,support-enabler,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,False,high,curated-or-explicit,none
consume-book,consume,consumer,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,research-intelligence,area: memory,ra-memory,True,high,contract-reviewed,none
consume-youtube,consume,consumer,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,research-intelligence,area: memory,ra-memory,True,high,contract-reviewed,none
create-context,create,creator,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
create-intent-map,create,creator,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
create-journal-entry,create,creator,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
embedding,core,memory-service,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
episodic-archiver,core,memory-service,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
intent-mapper,core,capability,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
learn-datalake,learn,learner,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,extraction-document-intelligence,area: memory,ra-memory,True,high,contract-reviewed,none
memory,core,memory-service,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
mine-transcripts,core,capability,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
monitor-episodic-archiver,monitor,monitor,support-enabler,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,contract-reviewed,none
monitor-memory,monitor,monitor,support-enabler,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,medium,rule-derived,human-review
monitor-taxonomy,monitor,monitor,support-enabler,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
ops-arango,ops,operator,support-enabler,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
persona-journal,core,capability,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
project-knowledge,core,memory-service,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
project-state,core,capability,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
recommend-skill-chain,core,capability,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
taxonomy,core,capability,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
vector-store,core,memory-service,research-capability,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,high,curated-or-explicit,none
benchmark-models,core,capability,research-capability,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
best-practices-prompt,best-practices,standards,support-enabler,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
best-practices-scillm,best-practices,standards,support-enabler,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,False,high,curated-or-explicit,none
chutes-call,core,model-gateway,research-capability,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
create-classifier,create,creator,research-capability,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
create-gpt,create,creator,research-capability,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
create-regressor,create,creator,research-capability,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
gpt-lab,core,capability,research-capability,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
monitor-claude,monitor,monitor,support-enabler,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
monitor-ollama,monitor,monitor,support-enabler,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,False,medium,rule-derived,human-review
ops-chutes,ops,operator,support-enabler,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
ops-claude,ops,operator,support-enabler,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
ops-llm,ops,operator,support-enabler,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
ops-runpod,ops,operator,support-enabler,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
prompt-lab,core,capability,research-capability,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
rate-limit-recovery,core,capability,research-capability,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
scillm,core,model-gateway,research-capability,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,high,curated-or-explicit,none
train-convo-steering,train,trainer,research-capability,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,medium,rule-derived,human-review
clean-text,core,capability,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
corpus-report,core,capability,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
create-annotated-pdf,create,creator,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
create-sentence-markup,create,creator,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
create-table,create,creator,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
create-table-classifier,create,creator,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
doc2qra,core,capability,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
extract-controls,extract,extractor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
extract-entities,extract,extractor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
extract-html,extract,extractor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
extract-pdf,extract,extractor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
extract-tables,extract,extractor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
extractor,core,document-service,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
fact-extractor,core,capability,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,False,high,curated-or-explicit,none
fetcher,core,document-service,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
ingest-book,ingest,ingestor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,medium,rule-derived,human-review
ingest-code,ingest,ingestor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,medium,rule-derived,human-review
ingest-doc,ingest,ingestor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,medium,rule-derived,human-review
ingest-kindle,ingest,ingestor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,medium,rule-derived,human-review
ingest-training-datalake,ingest,ingestor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,model-systems-learning,area: extraction,ra-extraction,True,high,contract-reviewed,none
ingest-website,ingest,ingestor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,medium,rule-derived,human-review
monitor-pdfs,monitor,monitor,support-enabler,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,medium,rule-derived,human-review
pdf-lab,core,document-service,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
pdf-screenshot,core,capability,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
review-extraction,review,reviewer,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,False,high,curated-or-explicit,none
review-pdf,review,reviewer,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
table-lab,core,document-service,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
treesitter,core,capability,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,high,curated-or-explicit,none
best-practices-sparta,best-practices,standards,support-enabler,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,False,high,curated-or-explicit,none
cmmc-assessor,core,capability,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
compliance-timeline,core,capability,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
create-evidence-case,create,creator,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
create-gsn-diagram,create,creator,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
create-qras,create,creator,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,False,high,curated-or-explicit,none
data-audit,core,capability,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
evidence-case-lab,core,capability,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,False,high,curated-or-explicit,none
evidence-case-viewer,core,capability,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,False,high,curated-or-explicit,none
export-oscal,core,capability,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
governance,core,capability,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
ingest-compliance-doc,ingest,ingestor,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",extraction-document-intelligence,area: compliance-assurance,ra-compliance-assurance,True,medium,rule-derived,human-review
ingest-sparta,ingest,ingestor,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,False,high,curated-or-explicit,none
monitor-sparta,monitor,monitor,support-enabler,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
ops-compliance,ops,operator,support-enabler,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
qra-review,core,capability,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
reality-check-sparta,core,capability,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
review-assurance-case,review,reviewer,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",verification-formal-methods,area: compliance-assurance,ra-compliance-assurance,False,high,contract-reviewed,none
review-sparta,review,reviewer,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
sparta-qra-validator-gpt,core,capability,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
sparta-review,core,capability,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
sparta-stress-test,core,capability,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",,area: compliance-assurance,ra-compliance-assurance,True,high,curated-or-explicit,none
analytics,core,capability,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
argue,core,capability,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
arxiv,core,researcher,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
brave-search,core,researcher,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
consume-feed,consume,consumer,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,medium,rule-derived,human-review
context7,core,capability,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
create-paper,create,creator,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
create-report,create,creator,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,False,high,curated-or-explicit,none
discover-books,discover,discoverer,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
discover-contacts,discover,discoverer,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
discover-talent,discover,discoverer,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
distill,core,capability,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
dogpile,core,researcher,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
github-search,core,researcher,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
interview,core,capability,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
mailbox-mining,core,capability,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
monitor-contacts,monitor,monitor,support-enabler,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
monitor-opportunities,monitor,monitor,support-enabler,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
ops-darpa,ops,operator,support-enabler,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
ops-sam-gov,ops,operator,support-enabler,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,high,curated-or-explicit,none
